,branch,heat_demand,year,month,day,hour,date,ymd,imputated_temperature,season
224,강남,663,2021,1,01,01,2021-01-01 01:00:00,2021-01-01,-7.2,겨울
243,강남,656,2021,1,01,02,2021-01-01 02:00:00,2021-01-01,-7.6,겨울
267,강남,635,2021,1,01,03,2021-01-01 03:00:00,2021-01-01,-8.2,겨울
656,강남,622,2021,1,01,04,2021-01-01 04:00:00,2021-01-01,-8.1,겨울
717,강남,603,2021,1,01,05,2021-01-01 05:00:00,2021-01-01,-8.7,겨울
830,강남,621,2021,1,01,06,2021-01-01 06:00:00,2021-01-01,-8.9,겨울
889,강남,621,2021,1,01,07,2021-01-01 07:00:00,2021-01-01,-8.2,겨울
932,강남,625,2021,1,01,08,2021-01-01 08:00:00,2021-01-01,-8.4,겨울
952,강남,631,2021,1,01,09,2021-01-01 09:00:00,2021-01-01,-6.9,겨울
1151,강남,608,2021,1,01,10,2021-01-01 10:00:00,2021-01-01,-5.1,겨울
1931,강남,603,2021,1,01,11,2021-01-01 11:00:00,2021-01-01,-2.5,겨울
1959,강남,557,2021,1,01,12,2021-01-01 12:00:00,2021-01-01,-1.6,겨울
2001,강남,529,2021,1,01,13,2021-01-01 13:00:00,2021-01-01,-0.6,겨울
2039,강남,489,2021,1,01,14,2021-01-01 14:00:00,2021-01-01,1.3,겨울
2052,강남,496,2021,1,01,15,2021-01-01 15:00:00,2021-01-01,0.5,겨울
2086,강남,499,2021,1,01,16,2021-01-01 16:00:00,2021-01-01,0.7,겨울
2115,강남,536,2021,1,01,17,2021-01-01 17:00:00,2021-01-01,0.1,겨울
2137,강남,582,2021,1,01,18,2021-01-01 18:00:00,2021-01-01,-0.3,겨울
2177,강남,682,2021,1,01,19,2021-01-01 19:00:00,2021-01-01,-0.9,겨울
2220,강남,699,2021,1,01,20,2021-01-01 20:00:00,2021-01-01,-1.5,겨울
2277,강남,722,2021,1,01,21,2021-01-01 21:00:00,2021-01-01,-1.4,겨울
2308,강남,708,2021,1,01,22,2021-01-01 22:00:00,2021-01-01,-1.2,겨울
2356,강남,683,2021,1,01,23,2021-01-01 23:00:00,2021-01-01,-1.4,겨울
2402,강남,630,2021,1,02,00,2021-01-02 00:00:00,2021-01-02,-2.0,겨울
2461,강남,649,2021,1,02,01,2021-01-02 01:00:00,2021-01-02,-2.7,겨울
2502,강남,590,2021,1,02,02,2021-01-02 02:00:00,2021-01-02,-3.6,겨울
2553,강남,581,2021,1,02,03,2021-01-02 03:00:00,2021-01-02,-4.1,겨울
2590,강남,571,2021,1,02,04,2021-01-02 04:00:00,2021-01-02,-5.1,겨울
2886,강남,579,2021,1,02,05,2021-01-02 05:00:00,2021-01-02,-5.2,겨울
2913,강남,587,2021,1,02,06,2021-01-02 06:00:00,2021-01-02,-6.0,겨울
2937,강남,594,2021,1,02,07,2021-01-02 07:00:00,2021-01-02,-5.9,겨울
2974,강남,612,2021,1,02,08,2021-01-02 08:00:00,2021-01-02,-6.6,겨울
3000,강남,623,2021,1,02,09,2021-01-02 09:00:00,2021-01-02,-5.7,겨울
3021,강남,617,2021,1,02,10,2021-01-02 10:00:00,2021-01-02,-4.3,겨울
3043,강남,601,2021,1,02,11,2021-01-02 11:00:00,2021-01-02,-3.2,겨울
3081,강남,570,2021,1,02,12,2021-01-02 12:00:00,2021-01-02,-2.2,겨울
3103,강남,536,2021,1,02,13,2021-01-02 13:00:00,2021-01-02,-1.4,겨울
